positive_class,true_negatives,false_positives,false_negatives,true_positives,recall,precision,f1_score,roc_auc,precision_recall_auc
0,136,21,17,368,0.9558441558441558,0.9460154241645244,0.9509043927648579,0.9110430970303581,0.9666124468309084
1,403,13,18,108,0.8571428571428571,0.8925619834710744,0.874493927125506,0.9129464285714286,0.8914575863586264
2,528,1,0,13,1.0,0.9285714285714286,0.962962962962963,0.999054820415879,0.9642857142857143
3,520,4,4,14,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.885072094995759,0.7814678146781467
